iter	RMSE	MAE
185	1405.964438	940.9168855
186	1398.951877	937.3945641
187	1391.627739	933.6299238
188	1382.21126	928.9390756
189	1374.305826	923.4898897
190	1366.769903	918.4007353
191	1359.955758	913.4724265
192	1350.616865	908.7648372
193	1342.456547	904.9563419
194	1338.267185	901.7880121
195	1332.083173	897.4041492
196	1323.195064	892.619157
197	1314.710972	888.1214548
198	1307.679502	884.5799632
199	1303.677952	881.4128808
200	1297.089075	876.4419643
201	1292.491464	872.8715861
202	1286.254049	868.3373162
203	1281.170736	864.6227679
204	1274.435383	861.0530462
205	1268.849542	856.8319328
206	1262.934398	853.7412684
207	1255.502926	849.8948267
208	1252.073024	847.6681985
209	1246.017495	844.9921875
210	1240.348772	840.8139443
211	1237.087064	838.8323267
212	1231.117604	835.9641544
213	1227.938848	833.8331801
214	1222.573343	830.1570378
215	1217.668802	826.8608193
216	1212.659387	823.4894958
217	1206.849249	819.4067752
218	1200.985814	815.407563
219	1195.310276	812.7397584
220	1192.447155	811.1702994
221	1186.686029	807.9829307
222	1182.317508	804.9109769
223	1176.986495	802.448989
224	1172.870586	799.6176471
225	1165.726289	796.3618697
226	1160.759184	793.0912553
227	1158.786615	791.9074974
228	1156.246317	790.4809611
229	1151.83764	787.4404543
230	1149.70716	786.1251313
231	1147.832038	784.9940914
232	1145.430028	783.7281381
233	1142.640316	781.8996849
234	1138.775459	779.4178046
235	1136.828672	778.43448
236	1133.096301	775.7171087
237	1131.801093	774.9384848
238	1130.010069	774.1681329
239	1128.310703	773.2396271
240	1126.777095	772.2517726
241	1123.324957	769.9667805
242	1121.670483	768.9413078
243	1120.166494	767.9475446
244	1116.925793	765.9027048
245	1112.887017	763.0554753
246	1106.433197	760.1315651
247	1103.443777	757.9665179
248	1102.292249	757.4443934
249	1096.955604	755.34677
250	1095.922466	754.641938
251	1093.736053	753.3299632
252	1092.395164	752.6121324
253	1091.106785	751.9621849
254	1090.095979	751.2980567
255	1089.089297	750.7692358
256	1087.884139	749.9497768
257	1086.788747	749.106355
258	1085.65838	748.3346901
259	1084.766946	747.8815651
260	1082.781106	746.7129727
261	1080.393828	745.0592174
262	1077.745172	742.8809743
263	1076.666252	742.1871061
264	1075.689874	741.7363445
265	1074.659938	741.0475972
266	1074.060731	740.5861345
267	1072.923345	739.6601891
268	1071.293132	738.5852153
269	1070.537193	738.0516019
270	1070.003785	737.7801996
271	1066.838698	735.1821822
272	1065.419853	734.1437106
273	1063.540749	732.8105305
274	1063.065616	732.4356618
275	1060.795072	730.4852941
276	1060.096682	729.9998687
277	1057.1913	727.7721901
278	1055.604713	726.6976103
279	1055.022593	726.3427652
280	1051.078422	724.1433167
281	1045.77871	721.7318803
282	1044.456708	720.6450893
283	1042.763877	719.6737132
284	1041.946336	719.0740546
285	1040.927415	718.2442227
286	1040.12126	717.4801733
287	1039.673963	717.0791098
288	1038.862371	716.3059349
289	1037.933338	715.460084
290	1033.132855	713.4720326
291	1032.763186	713.2595194
292	1032.017881	712.6639968
293	1030.521904	711.4827994
294	1028.789547	709.9562763
295	1027.953601	709.529937
296	1027.206312	709.0008535
297	1026.506845	708.5246849
298	1025.835179	708.0098477
299	1021.273451	705.983062
300	1020.48214	705.4323792
301	1019.745495	705.0248162
302	1019.070527	704.5476628
303	1017.527403	703.1905856
304	1016.369416	702.5932904
305	1015.764315	702.1581539
306	1015.396433	701.8515625
307	1015.122429	701.5747768
308	1013.844799	700.7311581
309	1013.011452	700.2190783
310	1012.501819	700.0267201
311	1012.232909	699.8312763
312	1011.711687	699.5603992
313	1010.773828	699.1972164
314	1010.247528	699.0024947
315	1009.263247	698.4809611
316	1008.531173	698.119354
317	1007.594223	697.6565783
318	1006.925398	697.3560924
319	1006.279644	696.8975184
320	1005.934291	696.6500788
321	1005.496223	696.4894958
322	1004.783082	696.0215993
323	1004.16012	695.6571691
324	1003.234936	694.9957327
325	1002.739977	694.708771
326	1002.023063	694.1612395
327	1001.185549	693.5860688
328	1000.754069	693.4373687
329	999.9598984	693.0769433
330	999.6213064	692.6540179
331	999.1801681	692.416229
332	998.532705	692.0136555
333	997.8433888	691.5978204
334	997.4186852	691.3771008
335	997.0023979	691.1869091
336	996.6225654	691.0346639
337	996.405405	690.8174895
338	995.756644	690.3805147
339	995.0660128	689.8403361
340	994.5592495	689.3917411
341	994.188187	689.0713629
342	993.7596889	688.8270746
343	993.3608854	688.3180804
344	992.7556081	687.9437369
345	992.5743797	687.7397584
346	992.1760484	687.4779412
347	991.6618087	687.0560662
348	990.8168263	686.4401261
349	990.0844884	685.9464286
350	989.9585595	685.8258929
351	989.3851754	685.2725184
352	988.7782462	684.8837973
353	988.6814919	684.7542017
354	987.8515862	684.2751444
355	987.0058619	683.6780462
356	986.3720811	683.2232799
357	985.8490177	682.8013393
358	985.5340232	682.3977153
359	985.2809521	682.3089548
360	985.2554674	682.3026523
361	984.6011691	681.8851103
362	984.0676686	681.4975053
363	983.7386412	681.3013393
364	983.2165016	680.9913997
365	982.9294238	680.6286108
366	982.7094085	680.5602679
367	982.1484596	680.1743041
368	981.5223299	679.7444853
369	981.0906981	679.2931985
370	980.8005991	679.0419512
371	980.5663601	678.8858981
372	980.3361454	678.7003676
373	979.8884519	678.3417148
374	979.8047482	678.2285977
375	979.1818228	677.8470326
376	979.0495133	677.7020746
377	978.8045873	677.52974
378	978.6109174	677.4531907
379	978.3084011	677.174895
380	978.0964535	677.012802
381	977.5218883	676.7823004
382	977.0927207	676.4441964
383	976.682913	675.9993435
384	976.1082734	675.5936187
385	975.8206889	675.1389837
386	975.6872002	674.9424895
387	975.3580683	674.7801339
388	975.3267757	674.7229517
389	974.9019515	674.4214811
390	974.4879457	674.129136
391	974.4277183	674.0396534
392	974.1810782	673.6770614
393	973.7868212	673.3970588
394	973.1947217	673.0157563
395	972.795573	672.6995142
396	972.6644338	672.5024947
397	972.2915495	672.2642463
398	972.0610694	671.9167542
399	971.6026784	671.6257222
400	970.9755988	671.2145483
401	970.588386	670.8994223
402	970.0756966	670.5628939
403	969.479493	670.1720063
404	969.3223831	670.0815389
405	968.7499352	669.6725315
406	968.5914576	669.5667017
407	967.8540761	669.0428046
408	967.2657817	668.668855
409	966.9671551	668.4058561
410	966.9498436	668.3703388
411	966.930585	668.3059349
412	966.3276059	667.8960741
413	966.1787854	667.7867647
414	966.0304987	667.6608456
415	965.8933254	667.5622374
416	965.4755262	667.2623424
417	964.7371219	666.6869748
418	964.043306	666.169052
419	963.4726058	665.8119748
420	963.1194416	665.5569853
421	962.8266858	665.3534664
422	962.4776151	665.1125263
423	961.9748595	664.7497374
424	961.9405107	664.6766019
425	961.5509181	664.3915441
426	961.5400812	664.3590467
427	961.5313417	664.3469013
428	961.3082123	664.1859244
429	961.0756579	664.055541
430	960.6138794	663.7194722
431	960.2744356	663.473083
432	959.7841494	663.1804753
433	959.5780235	663.0419512
434	959.5535026	662.9699317
435	959.357418	662.8428309
436	958.8466461	662.5153624
437	958.3984891	662.2230173
438	958.0640845	661.9835872
439	958.0520503	661.9295562
440	958.0224029	661.8612132
441	957.7494278	661.7271534
442	957.3130113	661.4417017
443	957.1101462	661.3180147
444	957.1037544	661.2884716
445	956.792822	661.0530462
446	956.3203289	660.6982668
447	956.2915416	660.6029412
448	955.9578065	660.3415179
449	955.692085	660.1629464
450	955.5891667	660.0693277
451	955.2621181	659.8244485
452	954.8055194	659.5434611
453	954.7775314	659.4741991
454	954.3529287	659.2338498
455	954.0329963	658.9898897
456	954.0233776	658.9340861
457	953.6369656	658.7425158
458	953.5402412	658.6500788
459	953.2232802	658.4151786
460	952.8018655	658.1450893
461	952.3417577	657.8326549
462	952.2500201	657.7436318
463	951.9045924	657.5347952
464	951.3925751	657.1402967
465	950.9992268	656.9376313
466	950.6941825	656.7111345
467	950.2937184	656.4682904
468	950.0309062	656.2836134
469	950.0240068	656.2426471
470	949.7314614	655.9954044
471	949.4560318	655.7681197
472	949.2048508	655.6222426
473	949.1170953	655.5315126
474	949.0249751	655.3894433
475	948.9387261	655.2910977
476	948.5177468	654.9497768
477	948.3887442	654.7538078
478	947.9645421	654.4592306
479	947.8367764	654.2644433
480	947.4266607	653.9332983
481	947.0977517	653.7304359
482	946.6475833	653.3752626
483	946.252014	653.1072742
484	945.7528591	652.765625
485	945.4295898	652.5626313
486	945.3566665	652.4860163
487	945.2324955	652.2947742
488	944.8138494	651.9639575
489	944.5278043	651.7468487
490	944.4432089	651.6121324
491	944.1351207	651.3564863
492	943.824154	651.1589417
493	943.5474987	650.9460347
494	943.1509855	650.6599265
495	942.7451423	650.3348214
496	942.6618489	650.1982668
497	942.2613243	649.8751313
498	941.8532063	649.5313157
499	941.5528029	649.3366597
500	941.4713677	649.2020746
501	941.1758067	649.0098477
502	940.8775807	648.7942489
503	940.8136654	648.720063
504	940.5223294	648.4054622
505	940.1344442	648.089417
506	939.9264767	647.9684217
507	939.6396592	647.7217043
508	939.2932798	647.4872637
509	938.9731921	647.2673319
510	938.7415141	647.0983456
511	938.6193687	647.0317096
512	938.4231007	646.7747505
513	938.0473192	646.4634979
514	937.9900198	646.3897059
515	937.7694974	646.2259716
516	937.504214	645.9642201
517	937.1359551	645.65625
518	936.7722161	645.3501182
519	936.635495	645.2710084
520	936.5191407	645.2054884
521	936.3232222	645.0875131
522	935.9645903	644.7838761
523	935.6402023	644.5563944
524	935.289287	644.2555147
525	934.9718551	644.0300683
526	934.628673	643.7317489
527	934.4016015	643.5332195
528	934.0625643	643.2370667
529	933.9524397	643.1368172
530	933.645066	642.9141938
531	933.5686298	642.8061975
532	933.2370338	642.5124737
533	933.0150638	642.3164391
534	932.8751617	642.1678046
535	932.8008605	642.0621717
536	932.5001363	641.8411239
537	932.4268868	641.7358193
538	932.1025659	641.4447873
539	931.8273725	641.123687
540	931.5330817	640.9044774
541	931.2157049	640.6164653
542	931.0801534	640.4703256
543	930.9465681	640.3253676
544	930.6331449	640.0391938
545	930.4860571	639.8837973
546	930.3408971	639.7294512
547	930.0565448	639.5137868
548	929.9137034	639.3630515
549	929.6328723	639.1477153
550	929.5637361	639.0812763
551	929.5056606	639.0188419
552	929.3660621	638.9018514
553	929.2414906	638.7954307
554	929.0221117	638.5901392
555	928.7226974	638.3177521
556	928.6560634	638.2526917
557	928.5901123	638.1876313
558	928.3178607	637.9745273
559	928.2528633	637.9094669
560	927.9835553	637.6983981
561	927.9192952	637.6374737
562	927.6527893	637.4338892
563	927.589376	637.3726366
564	927.5267194	637.3115809
565	927.2389664	637.0405068
566	927.1770474	636.9795168
567	926.8927036	636.7099527
568	926.8405536	636.6523766
569	926.5829517	636.4533876
570	926.3053202	636.1955095
571	926.0530504	635.9982931
572	926.0066247	635.9151786
573	925.961322	635.8332458
574	925.90607	635.7435662
575	924.9099888	634.9540441
576	923.9326979	634.1724659
577	922.9740384	633.3988971
578	922.9226867	633.3191308
579	921.9818624	632.5537027
580	921.0589448	631.7960215
581	921.0145666	631.7153361
582	920.1089815	630.9655987
583	920.0698549	630.896271
584	920.0305439	630.826812
585	919.1422015	630.0854123
586	918.2706801	629.3514312
587	917.4155515	628.6249343
588	916.576458	627.9057248
589	915.7533336	627.1938682
590	914.243187	626.3184086
591	912.7423265	625.4239758
592	912.6362221	625.3416492
593	912.589961	625.2674632
594	911.8015411	624.5735294
595	911.0280461	623.8866859
596	909.5655626	623.0101103
597	909.5129734	622.9181985
598	909.4478887	622.822479
599	909.3818382	622.7341124
600	908.6315872	622.0597426
601	907.8954517	621.3922006
602	907.8314729	621.3197216
603	907.7660084	621.2306329
604	907.7070567	621.1466649
605	907.6441756	621.0932248
606	907.6006229	621.0208771
607	907.5575496	620.9489233
608	906.1316431	620.1032038
609	906.0676881	620.0153624
610	906.02495	619.944459
611	904.1197957	618.9591649
612	904.0593421	618.9099265
613	903.8091194	618.7014181
614	901.9276462	617.7251838
615	900.0695398	616.7572216
616	900.0267036	616.6904543
617	899.9842762	616.6242122
618	898.1486841	615.6643908
619	898.090486	615.5877101
620	896.277493	614.6360294
621	894.4870931	613.6922925
622	894.4441023	613.6292017
623	892.6757059	612.6935399
624	892.6328162	612.6315651
625	890.8860663	611.7036502
626	889.1611002	610.7835478
627	887.4575525	609.8710609
628	885.7750914	609.0129989
629	884.1134571	608.1635373
630	882.4724244	607.3206408
631	880.851765	606.4846376
632	880.8133751	606.4312631
633	880.7753651	606.3784139
634	880.7376969	606.3260242
635	880.7004088	606.2740284
636	879.0982775	605.4447216
637	877.5159363	604.6218487
638	875.9531855	603.8056723
639	875.9151565	603.7555147
640	874.3712267	602.9457721
641	874.3331673	602.896468
642	872.8078133	602.0930278
643	871.301316	601.2960215
644	869.8132708	600.5052521
645	868.3433469	599.7205882
646	866.8915201	598.9420299
647	866.8508057	598.8908876
648	865.4164005	598.1185662
649	863.9995331	597.3523503
650	863.9753342	597.3570772
651	863.9510957	597.3573398
652	863.9277125	597.3618697
653	863.9049123	597.366334
654	862.5049701	596.6053046
655	861.1222695	595.8501838
656	861.0996292	595.8555672
657	859.7335135	595.1060924
658	858.3840985	594.3626576
659	857.0511099	593.6249343
660	855.7341926	592.8928571
661	854.4333421	592.1666229
662	854.4107213	592.1740415
663	854.3885326	592.1813288
664	854.3663041	592.1840861
665	853.0807837	591.4627757
666	851.811002	590.7470457
667	850.5563182	590.0368304
668	850.5346613	590.0450368
669	849.2951106	589.3400735
670	848.0705536	588.640625
671	848.049071	588.6494223
672	846.8392643	587.9550945
673	845.6438649	587.2660846
674	844.4629739	586.582458
675	843.2963334	585.9041492
676	843.2746893	585.9142595
677	842.1217701	585.2408745
678	842.1193352	585.2545956
679	842.1170601	585.2680541
680	840.9777423	584.599396
681	840.975464	584.6127889
682	839.8499666	583.9604779
683	839.8474451	583.9699317
684	838.7351421	583.3411239
685	838.7326574	583.3505121
686	838.730333	583.3597033
687	837.6311537	582.7351628
688	836.9008053	582.2115284
689	836.1802709	581.691833
690	836.1701407	581.6852679
691	836.1678091	581.6936712
692	835.4570228	581.1872374
693	835.4472862	581.1840861
694	834.7461145	580.691833
695	834.7367723	580.6884191
696	834.045119	580.1997768
697	834.0361317	580.1960347
698	834.0274263	580.1922269
699	834.0189628	580.1884191
700	833.3369994	579.7029937
701	833.3153791	579.7048319
702	832.6424475	579.2228204
703	831.9785469	578.7444853
704	831.3235776	578.2696954
705	830.6670398	577.7728466
706	830.0193781	577.2798057
707	829.3804917	576.7904412
708	829.3442585	576.7370011
709	829.3233852	576.7377889
710	828.6930076	576.2787553
711	828.0713646	575.8675158
712	827.4580291	575.4594275
713	826.8529383	575.0543592
714	826.2560288	574.7471113
715	825.6671558	574.5430672
716	825.0862547	574.3405987
717	824.513098	574.1398372
718	824.4782409	574.0853466
719	824.4438716	574.0311187
720	824.4119881	573.9812237
721	823.8466448	573.7817096
722	823.8153093	573.7320116
723	823.7844215	573.6825762
724	823.7541038	573.633469
725	823.1962303	573.4352022
726	822.6459463	573.2384454
727	822.61812	573.2019433
728	822.5909467	573.1655725
729	822.564181	573.1294643
730	822.5379049	573.0933561
731	822.5121184	573.0576418
732	822.4868214	573.0220588
733	821.9442415	572.8261555
734	821.9194178	572.7907038
735	821.3841157	572.5963104
736	820.8559583	572.403427
737	820.8248362	572.3971901
738	820.3037765	572.2056854
739	819.789766	572.015822
740	819.7589316	572.0091255
741	819.728506	572.0023634
742	819.221315	571.8135504
743	818.7209537	571.626313
744	818.690859	571.6192227
745	818.6610097	571.6120011
746	818.6315287	571.6046481
747	818.6023752	571.5971639
748	818.5734671	571.5895483
749	818.0797767	571.4027705
750	818.0512199	571.3950236
751	818.0229908	571.3870142
752	817.5359576	571.2014181
753	817.05534	571.017135
754	816.5811491	570.8344932
755	816.1134787	570.6533613
756	815.651969	570.4735425
757	815.6239041	570.4650079
758	815.1686323	570.2866334
759	815.1408395	570.2778361
760	814.6917342	570.100709
761	814.6641727	570.0917148
762	814.6370228	570.0827206
763	814.1937911	569.9065126
764	813.7565139	569.7318803
765	813.484589	569.573792
766	813.0529663	569.4003414
767	812.7839077	569.242844
768	812.3578298	569.0705751
769	811.9375726	568.8997505
770	811.6710432	568.743041
771	811.4075746	568.5869223
772	810.9923789	568.4170825
773	810.5826932	568.24849
774	810.1786503	568.0814076
775	809.9173524	567.9260767
776	809.5184999	567.7600446
777	809.1249345	567.5953913
778	808.8661636	567.4407826
779	808.477644	567.2987789
780	808.0942619	567.1899291
781	807.8377822	567.028427
782	807.5842178	566.8677784
783	807.3334467	566.7077206
784	807.0854297	566.548385
785	806.8401693	566.4212841
786	806.460802	566.3139443
787	806.0866772	566.207458
788	805.7174683	566.1016938
789	805.3532656	565.9969144
790	805.1098991	565.8739496
791	804.8691318	565.7511817
792	804.6310914	565.6288734
793	804.2710359	565.524291
794	803.9159202	565.4206933
795	803.5655835	565.3177521
796	803.2199485	565.21573
797	802.9836379	565.0941439
798	802.7498538	564.9727547
799	802.4084754	564.8711266
800	802.176954	564.7501313
801	801.8398172	564.6491597
802	801.6107314	564.5286239
