DATE,A939RX0Q048SBEA
2015-10-11,54420.0
2016-01-01,54640.0
2016-04-01,54722.0
2016-07-01,54918.0
2016-10-01,55165.0
2017-01-01,55401.0
2017-04-01,55560.0
2017-07-01,55874.0
2017-10-01,56324.0
2018-01-01,56785.0
2018-04-01,57099.0
2018-07-01,57317.0
2018-10-01,57429.0
2019-01-01,57789.0
2019-04-01,57942.0
2019-07-01,58229.0
2019-10-01,58490.0
2020-01-01,57691.0
2020-04-01,52448.0
2020-07-01,56290.0
2020-10-01,56812.0
2021-01-01,56812.0
