Time,anxbtc,bitbay,bitcoin24,bitcurex,bitfloor,btce,coinsetter,gatecoin,hitbtc,justcoin,lakebtc,mtgox,okcoin,others,therocktrading
2010-07-01 00:00:00 UTC,,,,,,,,,,,,0.00182675410132076,,,
2010-08-01 00:00:00 UTC,,,,,,,,,,,,0.000956445639584694,,,
2010-09-01 00:00:00 UTC,,,,,,,,,,,,0.00122038577268682,,,
2010-10-01 00:00:00 UTC,,,,,,,,,,,,0.00358593159593659,,,
2010-11-01 00:00:00 UTC,,,,,,,,,,,,0.0062317639199488,,,
2010-12-01 00:00:00 UTC,,,,,,,,,,,,0.004640742825895,,,
2011-01-01 00:00:00 UTC,,,,,,,,,,,,0.00684908034464382,,,
2011-02-01 00:00:00 UTC,,,,,,,,,,,,0.0144712380385045,,,
2011-03-01 00:00:00 UTC,,,,,,,,,,,,0.0091265175182983,,,
2011-04-01 00:00:00 UTC,,,,,,,,,,,,0.01678064860369,,,
2011-05-01 00:00:00 UTC,,,,,,,,,,,,0.0670829688653843,,,
2011-06-01 00:00:00 UTC,,,,,,,,,,,,0.261438401105927,,,
2011-07-01 00:00:00 UTC,,,,,,,,,,,,,,0.140448375081681,
2011-08-01 00:00:00 UTC,,,,,,,,,,,,,,0.0826311555769567,
2011-09-01 00:00:00 UTC,,,,,,,,,,,,,,0.060189188910085095,
2011-10-01 00:00:00 UTC,,,,,,,,,,,,,,0.0598215334778192,
2011-11-01 00:00:00 UTC,,,,,0.0873569415987364,,,,,,,0.0179428564060726,,0.07833381197102775,0.186653874444778
2011-12-01 00:00:00 UTC,,,,,0.0388908729653125,,,,,,,0.0159691295207904,,0.04939480883825205,0.0702386327553698
2012-01-01 00:00:00 UTC,,,,,0.0596179419603873,,,,,,,0.0394081809382643,,0.1061349291593464,0.247487373415294
2012-02-01 00:00:00 UTC,,,,,0.0313122357729808,,,,,,,0.0271264863632352,,0.057739885106747046,0.106066017177967
2012-03-01 00:00:00 UTC,,,,,0.0276778123937358,,,,,,,0.0189649937688373,,0.0400347353556754,0.0115470053837791
2012-04-01 00:00:00 UTC,,,,,0.0212930210163667,,,,,,,0.015555275810115,,0.0223987294201705,0.160496651460368
2012-05-01 00:00:00 UTC,,,0.0134209171706646,,0.0111831894872468,,,,,,,0.0121975248067823,,0.020908959285404698,0.0536437896672359
2012-06-01 00:00:00 UTC,,,0.0497278017628331,,0.0215743809953963,,,,,,,0.0161132743474608,,0.029180269100279953,0.0572709773750456
2012-07-01 00:00:00 UTC,,,0.136512024048099,,0.0346546691219373,0.0352284658869745,,,,,,0.0349100350797068,,0.0427622448141042,0.086019298166532
2012-08-01 00:00:00 UTC,,,0.357218610069203,,0.0717100323005123,0.0651325274986503,,,,,,0.0655333993020702,,0.08629247033635684,0.00707106780896827
2012-09-01 00:00:00 UTC,,,0.178025561730608,,0.035840074598981,0.0370890196424649,,,,,,0.0388611540208225,,0.05088609197032275,
2012-10-01 00:00:00 UTC,,,0.589562741362863,,0.0399947088126237,0.0429502801460834,,,,,,0.0435015215108208,,0.05499526272629935,0.0459619407785584
2012-11-01 00:00:00 UTC,,,0.323584332031466,,0.0288074348761103,0.0295161773271064,,,,,,0.0345610289914127,,0.048796031184065,0.353298519730666
2012-12-01 00:00:00 UTC,,,0.448267138487551,,0.0384310399629594,0.0270630604085611,,,,,,0.0386402216446085,,0.049307275801855246,0.364060168692168
2013-01-01 00:00:00 UTC,,,0.176750436604704,,0.0709735716005692,0.0424215355563791,,,,,,0.0501238315945389,,0.0748603275739357,1.98866834574874
2013-02-01 00:00:00 UTC,,,0.844554747642329,,0.134092741180813,0.0947005679875953,,,,,,0.0976473036893392,,0.1161094317627214,0.232954361282013
2013-03-01 00:00:00 UTC,,,2.02590310645636,,0.412838056618707,0.302018623223859,,,,,,0.353149084020251,,0.44174303996827496,1.13599037615057
2013-04-01 00:00:00 UTC,,,5.22423819783849,,1.88363067637139,1.42529164790195,,,,,,1.51771253292959,,1.67998089780653,3.20588873437665
2013-05-01 00:00:00 UTC,,,,,,0.475106403630069,,,,,,0.617952008586765,,0.6649041306429333,3.0677471618304
2013-06-01 00:00:00 UTC,,,,,,0.369334103789841,,,,,,0.53223378800928,,0.5042914052605173,
2013-07-01 00:00:00 UTC,,,,,,0.347638791562326,,,,,,0.464354062086829,,0.47904801247403866,14.5987162753807
2013-08-01 00:00:00 UTC,0.79488656567036,,,,,0.234324877933662,,,,,,0.400036533428783,,0.31347921918552935,2.05997762146697
2013-09-01 00:00:00 UTC,1.90470245030199,,,,,0.29231172228541,,,,,,0.538912183076149,,0.3755693854377003,20.8596500450031
2013-10-01 00:00:00 UTC,0.342154878491385,,,,,0.535436840497493,,,,1.66937206616099,,0.814078626637492,,0.702606598200089,1.84501867013028
2013-11-01 00:00:00 UTC,8.82667485414996,,,,,3.97474500905112,,,,19.5402554576893,,5.39928955429041,,4.335837395021675,14.2229664690293
2013-12-01 00:00:00 UTC,13.927323684897,,,,,5.89296106444524,,,16.4014008091582,13.9957142301985,,8.03590149225654,,7.040696065366595,15.1530470342941
2014-01-01 00:00:00 UTC,3.41517446299456,,,,,3.00853758138064,,,5.54222852104651,6.62862512388477,,4.40678948271209,,3.3432017919195722,4.74943586529397
2014-02-01 00:00:00 UTC,2.90594935538963,,,,,3.29953365438189,,,3.10468119016002,10.1477801699928,,6.79902214723951,,3.98679832630681,4.12119595235955
2014-03-01 00:00:00 UTC,2.20427164499169,,,,,1.99316407139589,,,2.81387356396222,6.96764120105302,2.62999091993465,,,2.846873807213694,2.43254825666435
